작업신고번호,공사현장명,위치_소재지,건물명_설비명,해체제거업자사업체명,해체시작년월일,해체종료년월일,변경사유발생일자,순번,종류명,면적_부피_길이(제곱미터)
부 산 청-20220468,2022년 부산 슬레이트 지붕 철거 및 처리공사(5권역)-정제영,(48428)부산광역시 남구 황령대로 355-31(대연동) 대연동 209-4,창고,하동건설(주),2022-12-06,2022-12-09,,4,지붕재,160.27 ㎡
부 산 청-20220468,2022년 부산 슬레이트 지붕 철거 및 처리공사(5권역)-정제영,(48428)부산광역시 남구 황령대로 355-31(대연동) 대연동 209-4,창고,하동건설(주),2022-12-06,2022-12-09,,3,천장재,
부 산 청-20220455,대연유치원 석면제거공사,(48446)부산광역시 남구 진남로165번길 4(문현동) 대연유치원,대연유치원,주식회사프로해즈맷(ProHazMat),2022-11-25,2022-11-30,,3,천장재,143.1 ㎡
부 산 청-20220456,문현동 486-32번지 일원 석면해체·제거작업,(48412)부산광역시 남구 전포대로76번길 17(문현동) 주택,문현동 486-32번지 일원 석면해체·제거작업,태우건설주식회사,2022-11-24,2022-12-15,,3,천장재,
부 산 청-20220456,문현동 486-32번지 일원 석면해체·제거작업,(48412)부산광역시 남구 전포대로76번길 17(문현동) 주택,문현동 486-32번지 일원 석면해체·제거작업,태우건설주식회사,2022-11-24,2022-12-15,,4,지붕재,227.24 ㎡
부 산 청-20220402,남구 문현동 798-5 외 필지 철거공사,(48402)부산광역시 남구 전포대로 27(문현동) 외 1필지 (전포대로 25),아트빌딩,에코환경건설(주),2022-10-15,2022-10-31,2022-11-15,3,천장재,0.1 ㎡
부 산 청-20220452,10공학관 지하 석면재 철거공사,(48548)부산광역시 남구 신선로 365(용당동) 10공학관(지하),10공학관,창준디에스(주),2022-11-24,2022-11-28,,3,천장재,251.61 ㎡
부 산 청-20220452,10공학관 지하 석면재 철거공사,(48548)부산광역시 남구 신선로 365(용당동) 10공학관(지하),10공학관,창준디에스(주),2022-11-24,2022-11-28,,9,개스킷,0.03 ㎡
부 산 청-20220453,"'22학년도 체인지업사업 뷰티케어학과 실습실구축에 따른 석면해체공사-복207,207-1호","(48520)부산광역시 남구 신선로 428 (용당동, 동명대학교)",동명대학교 산학협력관,계동건설주식회사,2022-11-23,2022-12-13,,3,천장재,133.96 ㎡
부 산 청-20220447,부산항만물류고 본관 4층 일부 리모델링 공사 중 석면해체공사,(48520)부산광역시 남구 신선로 410(용당동) 동명공업고등학교 본관4층 일부,동명공업고등학교,주식회사보람산업개발,2022-11-22,2022-12-09,,3,천장재,573.12 ㎡
부 산 청-20220445,2022년도 부산항 감만부두 운영건물(4B) 유지보수공사 중 석면 해체#8901;제거 공사,(48481)부산광역시 남구 북항로 59(감만동) 운영건물(4B),부산항만공사,우성건설,2022-11-21,2022-12-31,,3,천장재,
부 산 청-20220445,2022년도 부산항 감만부두 운영건물(4B) 유지보수공사 중 석면 해체#8901;제거 공사,(48481)부산광역시 남구 북항로 59(감만동) 운영건물(4B),부산항만공사,우성건설,2022-11-21,2022-12-31,,5,벽   재,179.2 ㎡
부 산 청-20220440,남부운전면허시험장 부분 석면해체.제거 공사,(48518)부산광역시 남구 용호로 16(용호동) 본관,부산남부자동차운전면허시험장 본관,주식회사두리환경건설,2022-11-19,2022-11-30,,5,벽   재,20.16 ㎡
부 산 청-20220440,남부운전면허시험장 부분 석면해체.제거 공사,(48518)부산광역시 남구 용호로 16(용호동) 본관,부산남부자동차운전면허시험장 본관,주식회사두리환경건설,2022-11-19,2022-11-30,,3,천장재,639.69 ㎡
부 산 청-20220438,"부산 남구 진남로 127번길 12,지상2층 리모델링공사중 석면해체공사",(48448)부산광역시 남구 진남로127번길 12(대연동) .,부산광역시 남구 진남로127번길 12(대연동),주식회사보람산업개발,2022-11-17,2022-11-25,,3,천장재,297.53 ㎡
부 산 청-20220421,22-육-00부대  지정폐기물철거공사(1341),(48480)부산광역시 남구 8부두로 100(감만동) 일원,"창고,차량정비고",(주)황토종합건설,2022-11-02,2022-12-24,,4,지붕재,3402.33 ㎡
부 산 청-20220421,22-육-00부대  지정폐기물철거공사(1341),(48480)부산광역시 남구 8부두로 100(감만동) 일원,"창고,차량정비고",(주)황토종합건설,2022-11-02,2022-12-24,,3,천장재,
부 산 청-20220417,부산시 남구 무민사로 8 슬레이트 해체제거공사,(48558)부산광역시 남구 무민사로 8(감만동) (감만동 499-5),근린생활시설,대륭개발（주）,2022-11-01,2022-11-19,,4,지붕재,62.52 ㎡
